CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,AgeGroup,CreditScoreBand,TenureGroup,BalanceSegment,ActivityStatus,CardStatus,ChurnStatus,HighValueCustomer,BalanceAtRisk,ChurnRiskScore
15725737,669,France,Male,46,3,0.0,2,0,1,8487.75,0,46-60,Medium,Mid-term,Zero-balance,Active,No credit card,Retained,False,0.0,0.2680270281591312
15625047,846,France,Female,38,5,0.0,1,1,1,187616.16,0,30-45,High,Mid-term,Zero-balance,Active,Has credit card,Retained,False,0.0,0.315031904324188
15738191,577,France,Male,25,3,0.0,2,0,1,124508.29,0,<30,Low,Mid-term,Zero-balance,Active,No credit card,Retained,False,0.0,0.06705819303535684
15736816,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,30-45,High,New,High-balance,Active,Has credit card,Retained,True,0.0,0.4478531967000873
15700772,571,France,Male,44,9,0.0,2,0,0,38433.35,0,30-45,Low,Long-term,Zero-balance,Inactive,No credit card,Retained,False,0.0,0.3142247448231409
15728693,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,30-45,Low,Mid-term,High-balance,Active,Has credit card,Retained,True,0.0,0.7068299144143496
15656300,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,<30,Low,New,Low-balance,Active,Has credit card,Retained,False,0.0,0.21047823036135477
15589475,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,30-45,Medium,Mid-term,Zero-balance,Inactive,Has credit card,Churned,False,0.0,0.751222838020889
15706552,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,30-45,Low,Long-term,Low-balance,Active,No credit card,Retained,False,0.0,0.23386733070432567
15750181,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,30-45,Low,Long-term,High-balance,Inactive,No credit card,Retained,True,0.0,0.4430955479764719
15659428,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,30-45,Low,Mid-term,Zero-balance,Active,Has credit card,Retained,False,0.0,0.23509439597525209
15732963,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,<30,Medium,Long-term,Zero-balance,Active,Has credit card,Retained,False,0.0,0.11037198905309901
15794171,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,30-45,Low,New,High-balance,Inactive,Has credit card,Churned,True,134264.04,0.7858209045285598
15788448,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,30-45,Low,Mid-term,High-balance,Active,No credit card,Retained,True,0.0,0.19554340023126934
15729599,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,30-45,High,Long-term,Low-balance,Active,No credit card,Retained,False,0.0,0.15943246745250753
15717426,850,France,Male,36,7,0.0,1,1,1,40812.9,0,30-45,High,Long-term,Zero-balance,Active,Has credit card,Retained,False,0.0,0.3179272716178032
15585768,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,30-45,Medium,Mid-term,Low-balance,Active,No credit card,Retained,False,0.0,0.2230528880193773
15619360,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,30-45,Low,Mid-term,Zero-balance,Inactive,Has credit card,Retained,False,0.0,0.5018219844790295
15738148,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,46-60,Low,Long-term,High-balance,Inactive,No credit card,Churned,True,122522.32,0.8277101829255717
15687946,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,60+,Low,New,High-balance,Active,Has credit card,Retained,True,0.0,0.5555289813826148
15755196,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,46-60,High,New,High-balance,Inactive,No credit card,Churned,True,131394.56,0.7213009739266524
15684171,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,60+,Medium,Mid-term,High-balance,Active,Has credit card,Retained,True,0.0,0.5431048823672624
15754849,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,30-45,High,Mid-term,High-balance,Active,Has credit card,Retained,True,0.0,0.2969364217684537
15602280,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,<30,High,Long-term,High-balance,Active,Has credit card,Churned,True,112045.67,0.5019964218678323
15771573,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,30-45,Medium,Long-term,High-balance,Active,Has credit card,Churned,True,137843.8,0.65065342602718
15766205,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,30-45,Low,New,High-balance,Active,No credit card,Retained,True,0.0,0.48843227748062973
15771873,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,30-45,High,New,High-balance,Inactive,Has credit card,Retained,True,0.0,0.39883780554528037
15616550,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,30-45,Medium,Long-term,High-balance,Inactive,Has credit card,Retained,True,0.0,0.5141932604870659
15768193,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,30-45,Medium,Mid-term,High-balance,Inactive,No credit card,Retained,True,0.0,0.24960375817708055
15683553,788,France,Female,33,5,0.0,2,0,0,116978.19,0,30-45,High,Mid-term,Zero-balance,Inactive,No credit card,Retained,False,0.0,0.12383699078144014
15702298,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,30-45,Medium,Long-term,High-balance,Inactive,No credit card,Churned,True,125561.97,0.7039398142553828
15569590,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,30-45,Medium,New,Low-balance,Inactive,Has credit card,Churned,False,98495.72,0.7146567737360502
15760861,619,France,Male,43,1,125211.92,1,1,1,113410.49,0,30-45,Medium,New,High-balance,Active,Has credit card,Retained,True,0.0,0.5099362687740258
15630053,656,France,Male,45,5,127864.4,1,1,0,87107.57,0,30-45,Medium,Mid-term,High-balance,Inactive,Has credit card,Retained,True,0.0,0.7003944087175228
15647091,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,<30,Medium,New,Low-balance,Inactive,No credit card,Retained,False,0.0,0.25804384469945896
15623944,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,60+,Low,Mid-term,Zero-balance,Inactive,Has credit card,Churned,False,0.0,0.7906910083475673
15804771,614,France,Male,51,4,40685.92,1,1,1,46775.28,0,46-60,Medium,Mid-term,Low-balance,Active,Has credit card,Retained,False,0.0,0.6018651751649352
15651280,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,30-45,High,Mid-term,High-balance,Inactive,No credit card,Retained,True,0.0,0.5290143173368527
15773469,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,<30,Medium,Long-term,High-balance,Inactive,No credit card,Retained,True,0.0,0.25261269471812325
15702014,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,30-45,Low,New,Low-balance,Inactive,No credit card,Retained,False,0.0,0.15866152332100406
15751208,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,46-60,Medium,Long-term,Low-balance,Active,Has credit card,Retained,False,0.0,0.45565258850445467
15592461,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,<30,Medium,Mid-term,High-balance,Active,Has credit card,Retained,True,0.0,0.29777696405044074
15789484,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,30-45,High,Mid-term,High-balance,Active,Has credit card,Retained,True,0.0,0.23362449767578067
15696061,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,30-45,Medium,New,High-balance,Inactive,Has credit card,Retained,True,0.0,0.5582757670307656
15641582,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,30-45,Medium,Long-term,High-balance,Active,Has credit card,Retained,True,0.0,0.42233013674980463
15638424,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,30-45,Medium,Mid-term,High-balance,Active,No credit card,Retained,True,0.0,0.2042265618328302
15755648,675,France,Female,21,8,98373.26,1,1,0,18203.0,0,<30,Medium,Long-term,Low-balance,Inactive,Has credit card,Retained,False,0.0,0.339430053087732
15703793,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,46-60,Medium,New,High-balance,Inactive,Has credit card,Churned,True,133745.44,0.9231229645278609
15620344,813,France,Male,29,6,0.0,1,1,0,33953.87,0,<30,High,Mid-term,Zero-balance,Inactive,Has credit card,Retained,False,0.0,0.39499863223383946
15812518,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,30-45,Medium,New,High-balance,Active,No credit card,Retained,True,0.0,0.2703670760990819
15779052,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,<30,Medium,Mid-term,High-balance,Active,Has credit card,Retained,True,0.0,0.1527059507422976
15770811,519,France,Male,36,9,0.0,2,0,1,145562.4,0,30-45,Low,Long-term,Zero-balance,Active,No credit card,Retained,False,0.0,0.08412490383427192
15780961,735,France,Female,21,1,178718.19,2,1,0,22388.0,0,<30,Medium,New,High-balance,Inactive,Has credit card,Retained,True,0.0,0.2581746970596433
15614049,664,France,Male,55,8,0.0,2,1,1,139161.64,0,46-60,Medium,Long-term,Zero-balance,Active,Has credit card,Retained,False,0.0,0.2623438900578868
15662085,678,France,Female,32,9,0.0,1,1,1,148210.64,0,30-45,Medium,Long-term,Zero-balance,Active,Has credit card,Retained,False,0.0,0.30662766217697945
15575185,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,30-45,High,Mid-term,Low-balance,Active,No credit card,Retained,False,0.0,0.22145356135246366
15803136,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,30-45,Low,Long-term,High-balance,Inactive,Has credit card,Retained,True,0.0,0.4735858141840191
15706021,665,France,Female,34,1,96645.54,2,0,0,171413.66,0,30-45,Medium,New,Low-balance,Inactive,No credit card,Retained,False,0.0,0.23831652476663215
15663706,777,France,Female,32,2,0.0,1,1,0,136458.19,1,30-45,High,New,Zero-balance,Inactive,Has credit card,Churned,False,0.0,0.4714324923027876
15641732,543,France,Female,36,3,0.0,2,0,0,26019.59,0,30-45,Low,Mid-term,Zero-balance,Inactive,No credit card,Retained,False,0.0,0.16326196399698614
15701164,506,France,Female,34,4,90307.62,1,1,1,159235.29,0,30-45,Low,Mid-term,Low-balance,Active,Has credit card,Retained,False,0.0,0.26854233041924747
15738751,493,France,Female,46,4,0.0,2,1,0,1907.66,0,46-60,Low,Mid-term,Zero-balance,Inactive,Has credit card,Retained,False,0.0,0.40524855440987456
15805254,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,60+,Medium,Long-term,Zero-balance,Active,Has credit card,Retained,False,0.0,0.2056221547684289
15762418,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,<30,High,Mid-term,High-balance,Inactive,Has credit card,Churned,True,121681.82,0.36004294192378394
15625759,729,France,Male,30,9,0.0,2,1,0,151869.35,0,30-45,Medium,Long-term,Zero-balance,Inactive,Has credit card,Retained,False,0.0,0.08686952405947569
15622897,646,France,Female,46,4,0.0,3,1,0,93251.42,1,46-60,Medium,Mid-term,Zero-balance,Inactive,Has credit card,Churned,False,0.0,0.8928716578968039
15767954,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,<30,Medium,Mid-term,Low-balance,Active,Has credit card,Retained,False,0.0,0.15805200654124607
15757535,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,30-45,Medium,Mid-term,Zero-balance,Active,Has credit card,Churned,False,0.0,0.8419528436214094
15731511,808,France,Male,45,7,118626.55,2,1,0,147132.46,0,30-45,High,Long-term,High-balance,Inactive,Has credit card,Retained,True,0.0,0.43942852543334104
15809248,524,France,Female,36,10,0.0,2,1,0,109614.57,0,30-45,Low,Long-term,Zero-balance,Inactive,Has credit card,Retained,False,0.0,0.18347829253301837
15640635,769,France,Male,29,8,0.0,2,1,1,172290.61,0,<30,High,Long-term,Zero-balance,Active,Has credit card,Retained,False,0.0,0.07687140486669004
15676966,730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,30-45,Medium,Mid-term,Zero-balance,Active,No credit card,Retained,False,0.0,0.16332206631986665
15699461,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,30-45,Low,Long-term,High-balance,Active,No credit card,Retained,True,0.0,0.2065703504766007
15738721,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,30-45,High,Long-term,High-balance,Active,No credit card,Retained,True,0.0,0.2457062954303393
15693683,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,<30,High,Long-term,Low-balance,Active,Has credit card,Retained,False,0.0,0.1516172932487623
15604348,710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,<30,Medium,Long-term,Zero-balance,Inactive,No credit card,Retained,False,0.0,0.08850858621842567
15633059,413,France,Male,34,9,0.0,2,0,0,6534.18,0,30-45,Low,Long-term,Zero-balance,Inactive,No credit card,Retained,False,0.0,0.14894318683684843
15808582,665,France,Female,40,6,0.0,1,1,1,161848.03,0,30-45,Medium,Mid-term,Zero-balance,Active,Has credit card,Retained,False,0.0,0.481452199074449
15743192,623,France,Female,44,6,0.0,2,0,0,167162.43,0,30-45,Medium,Mid-term,Zero-balance,Inactive,No credit card,Retained,False,0.0,0.4038569346476998
15580146,738,France,Male,31,9,82674.15,1,1,0,41970.72,0,30-45,Medium,Long-term,Low-balance,Inactive,Has credit card,Retained,False,0.0,0.2839866637802287
15776605,528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,30-45,Low,Long-term,Zero-balance,Inactive,Has credit card,Retained,False,0.0,0.10098478175508645
15804919,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,60+,Medium,New,Zero-balance,Active,Has credit card,Churned,False,0.0,0.40551885237998947
15613854,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,46-60,Medium,Mid-term,High-balance,Active,Has credit card,Churned,True,107073.27,0.5229073778251218
15599195,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,30-45,Medium,New,Low-balance,Active,Has credit card,Retained,False,0.0,0.1953929001381975
15812878,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,30-45,High,New,Low-balance,Active,No credit card,Retained,False,0.0,0.5103061706244659
15602312,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,30-45,Medium,Mid-term,High-balance,Inactive,No credit card,Retained,True,0.0,0.3098079215806433
15744689,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,30-45,Low,Long-term,Low-balance,Inactive,Has credit card,Churned,False,92833.89,0.5274568426044468
15803526,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,30-45,Medium,Mid-term,Low-balance,Active,No credit card,Retained,False,0.0,0.2092752450169911
15665790,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,30-45,Low,Long-term,High-balance,Inactive,Has credit card,Retained,True,0.0,0.3662015843640958
15715951,562,France,Male,42,2,100238.35,1,0,0,86797.41,0,30-45,Low,New,High-balance,Inactive,No credit card,Retained,True,0.0,0.5783713840062215
15591100,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,30-45,Medium,Long-term,High-balance,Active,No credit card,Retained,True,0.0,0.20659838058943983
15609618,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,<30,Medium,Long-term,High-balance,Active,No credit card,Churned,True,154475.54,0.2451553477679855
15675522,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,30-45,Medium,Long-term,High-balance,Active,Has credit card,Retained,True,0.0,0.22770035244048156
15705512,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,30-45,Medium,Mid-term,High-balance,Inactive,Has credit card,Retained,True,0.0,0.4433391330061084
15698028,506,France,Female,41,1,0.0,2,1,0,31766.3,0,30-45,Low,New,Zero-balance,Inactive,Has credit card,Retained,False,0.0,0.21773341518235143
15661670,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,30-45,Low,Long-term,High-balance,Inactive,Has credit card,Churned,True,107818.63,0.6012389375881232
15600781,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,30-45,Medium,Mid-term,High-balance,Inactive,Has credit card,Retained,True,0.0,0.20673554292672536
15682472,828,France,Male,34,8,129433.34,2,0,0,38131.77,0,30-45,High,Long-term,High-balance,Inactive,No credit card,Retained,True,0.0,0.17903577463875783
15580203,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,30-45,Medium,Mid-term,High-balance,Inactive,No credit card,Retained,True,0.0,0.35236732369913176
15690673,656,France,Female,39,6,0.0,2,1,0,141069.88,0,30-45,Medium,Mid-term,Zero-balance,Inactive,Has credit card,Retained,False,0.0,0.20322943978734734
15760085,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,46-60,Medium,Long-term,High-balance,Active,Has credit card,Retained,True,0.0,0.6993196263224347
15779659,625,France,Female,28,3,0.0,1,0,0,183646.41,0,<30,Medium,Mid-term,Zero-balance,Inactive,No credit card,Retained,False,0.0,0.4137405983078007
15627360,432,France,Male,42,9,152603.45,1,1,0,110265.24,1,30-45,Low,Long-term,High-balance,Inactive,Has credit card,Churned,True,152603.45,0.6453155124575577
15671137,549,France,Female,52,1,0.0,1,0,1,8636.05,1,46-60,Low,New,Zero-balance,Active,No credit card,Churned,False,0.0,0.7409959446795107
15782688,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,46-60,Medium,New,High-balance,Inactive,Has credit card,Churned,True,148507.24,0.9032526441320619
15575492,828,France,Female,41,7,0.0,2,1,0,171378.77,0,30-45,High,Long-term,Zero-balance,Inactive,Has credit card,Retained,False,0.0,0.2814339732492414
15591607,770,France,Male,24,9,101827.07,1,1,0,167256.35,0,<30,High,Long-term,High-balance,Inactive,Has credit card,Retained,True,0.0,0.26020786233974225
15740404,758,France,Female,34,3,0.0,2,1,1,124226.16,0,30-45,High,Mid-term,Zero-balance,Active,Has credit card,Retained,False,0.0,0.09551093143932404
15718369,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,30-45,High,Long-term,High-balance,Active,Has credit card,Retained,True,0.0,0.556497393848939
15677871,687,France,Male,38,9,122570.87,1,1,1,35608.88,0,30-45,Medium,Long-term,High-balance,Active,Has credit card,Retained,True,0.0,0.24409719137727873
15642004,686,France,Male,25,1,0.0,2,0,1,16459.37,0,<30,Medium,New,Zero-balance,Active,No credit card,Retained,False,0.0,0.08232358377171742
15712543,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,30-45,High,Long-term,High-balance,Active,Has credit card,Retained,True,0.0,0.26283417944864285
15584518,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,46-60,Medium,Mid-term,High-balance,Active,Has credit card,Retained,True,0.0,0.609020976526347
15802381,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,30-45,Low,Mid-term,Low-balance,Active,No credit card,Retained,False,0.0,0.2922431701903354
15610156,637,France,Male,40,2,133463.1,1,0,1,93165.34,0,30-45,Medium,New,High-balance,Active,No credit card,Retained,True,0.0,0.32942173419405
15594408,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,46-60,Medium,New,High-balance,Inactive,Has credit card,Churned,True,213146.2,0.7512910343761923
15640905,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,30-45,Low,New,High-balance,Active,No credit card,Churned,True,129490.36,0.3117745341656171
15698932,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,30-45,High,Long-term,High-balance,Inactive,Has credit card,Retained,True,0.0,0.8193965531659159
15724944,663,France,Male,34,7,0.0,2,1,1,180427.24,0,30-45,Medium,Long-term,Zero-balance,Active,Has credit card,Retained,False,0.0,0.06956043719412627
15628145,682,France,Female,43,5,125851.93,1,1,1,193318.33,0,30-45,Medium,Mid-term,High-balance,Active,Has credit card,Retained,True,0.0,0.4605871324468475
15713483,793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,46-60,High,New,Zero-balance,Inactive,Has credit card,Churned,False,0.0,0.870792667176636
15612350,691,France,Female,31,5,40915.55,1,1,0,126213.84,1,30-45,Medium,Mid-term,Low-balance,Inactive,Has credit card,Churned,False,40915.55,0.4663969231439581
15800703,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,<30,Low,Mid-term,High-balance,Active,Has credit card,Retained,True,0.0,0.23282611960287317
15705707,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,<30,Medium,Long-term,High-balance,Inactive,Has credit card,Retained,True,0.0,0.2858856404889626
15754105,650,France,Male,37,5,106967.18,1,0,0,24495.03,0,30-45,Medium,Mid-term,High-balance,Inactive,No credit card,Retained,True,0.0,0.3132002768309245
15703264,735,France,Male,44,9,120681.63,1,1,0,74836.34,0,30-45,Medium,Long-term,High-balance,Inactive,Has credit card,Retained,True,0.0,0.6385632239117118
15794413,416,France,Male,32,0,0.0,2,0,1,878.87,0,30-45,Low,New,Zero-balance,Active,No credit card,Retained,False,0.0,0.1651414401080822
15650237,754,Spain,Female,32,7,0.0,2,1,0,89520.75,0,30-45,High,Long-term,Zero-balance,Inactive,Has credit card,Retained,False,0.0,0.1171454325265567
15759618,535,France,Female,48,9,0.0,1,1,0,149892.79,1,46-60,Low,Long-term,Zero-balance,Inactive,Has credit card,Churned,False,0.0,0.8571238625312074
15811589,716,Spain,Male,42,8,0.0,2,1,0,180800.42,0,30-45,Medium,Long-term,Zero-balance,Inactive,Has credit card,Retained,False,0.0,0.2095143802132432
15689044,539,France,Male,37,2,127609.59,1,1,0,98646.22,0,30-45,Low,New,High-balance,Inactive,Has credit card,Retained,True,0.0,0.2991661613167514
15709368,614,France,Female,43,6,0.0,2,1,1,109041.53,0,30-45,Medium,Mid-term,Zero-balance,Active,Has credit card,Retained,False,0.0,0.2847508039596827
15679145,706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,46-60,Medium,Long-term,Zero-balance,Inactive,Has credit card,Churned,False,0.0,0.877195673146077
15655007,758,France,Female,33,7,0.0,2,0,0,82996.47,0,30-45,High,Long-term,Zero-balance,Inactive,No credit card,Retained,False,0.0,0.1182671121005355
15623595,586,Spain,Female,28,2,0.0,2,1,1,92067.35,0,<30,Medium,New,Zero-balance,Active,Has credit card,Retained,False,0.0,0.1303557086520471
15589975,646,France,Female,73,6,97259.25,1,0,1,104719.66,0,60+,Medium,Mid-term,Low-balance,Active,No credit card,Retained,False,0.0,0.3263628029754694
15804017,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,30-45,Medium,Mid-term,High-balance,Inactive,No credit card,Retained,True,0.0,0.6002780404609568
15692132,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,<30,Medium,Mid-term,High-balance,Active,No credit card,Retained,True,0.0,0.2253653714084002
15641122,684,France,Male,30,2,0.0,2,1,0,83473.82,0,30-45,Medium,New,Zero-balance,Inactive,Has credit card,Retained,False,0.0,0.09575078262140417
15630910,800,France,Female,49,7,108007.36,1,0,0,47125.11,0,46-60,High,Long-term,High-balance,Inactive,No credit card,Retained,True,0.0,0.7587034754890383
15680772,721,Spain,Female,36,2,0.0,2,1,1,106977.8,0,30-45,Medium,New,Zero-balance,Active,Has credit card,Retained,False,0.0,0.1231462845941976
15658929,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,<30,Medium,New,High-balance,Inactive,Has credit card,Churned,True,133702.89,0.36500321231409166
15585388,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,30-45,Medium,Long-term,High-balance,Active,Has credit card,Retained,True,0.0,0.18667667444595526
15724623,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,<30,Medium,Long-term,High-balance,Inactive,Has credit card,Churned,True,113034.22,0.5331772686978836
15588537,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,30-45,Medium,Long-term,High-balance,Inactive,Has credit card,Retained,True,0.0,0.5025275997292323
15574692,667,Spain,Female,39,2,0.0,2,1,0,40721.24,1,30-45,Medium,New,Zero-balance,Inactive,Has credit card,Churned,False,0.0,0.2214656554601514
15611325,682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,<30,Medium,Long-term,Low-balance,Inactive,No credit card,Retained,False,0.0,0.1413501767993162
